,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F)
2009011,37.8,35,12.7,29.7,26.4,36.8,274,0.00,0.00,0.00,40.1,34.5,44,27,29.762,29.596,41.4,59,40.1
2009012,43.2,32,14.7,29.5,12.8,18.0,240,0.00,0.00,0.00,52.8,37.5,43,16,29.669,29.268,35.7,51,52.8
2009013,25.7,60,12.7,29.7,8.3,12.2,290,0.00,0.00,0.00,41.2,6.7,89,35,30.232,29.260,25.3,38,41.2
2009014,9.3,67,0.1,30.4,2.9,4.5,47,0.00,0.00,0.00,19.4,0.0,79,35,30.566,30.227,12.7,20,32.0
2009015,23.5,30,5.3,29.9,16.7,23.1,265,0.00,0.00,0.00,30.3,15.1,56,13,30.233,29.568,38.0,53,32.0
2009016,24.8,42,4.6,29.8,16.0,23.9,276,0.00,0.00,0.00,29.5,19.7,57,27,29.879,29.637,29.9,48,32.0
2009017,34.2,60,21.6,29.7,20.4,30.0,276,0.00,0.00,0.00,39.1,27.3,86,46,29.860,29.602,38.0,54,39.1
2009018,42.1,41,20.0,29.8,17.5,25.2,265,0.00,0.00,0.00,51.3,36.9,53,28,29.883,29.627,35.7,49,51.3
2009019,30.3,46,11.4,30.0,6.9,10.6,292,0.00,0.00,0.00,41.5,19.2,82,27,30.446,29.575,24.2,36,41.5
20090110,26.2,38,3.6,30.4,18.2,24.6,258,0.00,0.00,0.00,31.9,22.5,48,29,30.489,30.291,31.1,46,32.0
20090111,30.1,41,9.0,30.3,17.0,24.6,270,0.00,0.00,0.00,36.3,26.0,52,29,30.421,30.112,31.1,44,36.3
20090112,23.4,60,11.0,30.3,7.4,11.0,351,0.03,0.03,0.01,31.6,16.1,87,41,30.524,30.012,25.3,33,32.0
20090113,32.4,47,14.6,30.2,16.3,22.6,254,0.03,0.03,0.00,38.0,28.5,54,34,30.340,30.046,32.2,47,38.0
